OBJECTID,Shape,id_paradero,id_parada,id_ruta,nro_parada,direccion,tipo_parada,recorrido,codigo_ruta,nombre_ruta,sistema_ruta,tipo_ruta,empresa,longitud,latitud,x_origen_nacional,y_origen_nacional
58,"(4716594.2037, 2251850.1071000006)",53654,90002025,90002,25.0,"CR 51 78-50, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56232127,6.27302287,4716594.2037,2251850.1071
59,"(4716641.0843, 2251529.0483)",53675,90002024,90002,24.0,"CR 51 74-48, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56188352,6.27012233,4716641.0843,2251529.0483
60,"(4716419.6143, 2249128.040600002)",53554,90002014,90002,14.0,"CR 45 x CL 50, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.56377859,6.24840567,4716419.6143,2249128.0406
61,"(4716547.8449, 2250952.214200001)",53627,90002022,90002,22.0,"CR 51 67-96, Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56270047,6.2649032,4716547.8449,2250952.2142
62,"(4715798.680400001, 2249592.7238000017)",53195,90002017,90002,17.0,"CR 53 x CL 52  , Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56940898,6.25257934,4715798.6804,2249592.7238
63,"(4715598.496100002, 2252605.3848)",55241,90002027,90002,27.0,Terminal Norte,Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.57135099,6.279807,4715598.4961,2252605.3848
64,"(4716452.1085, 2250720.460400002)",53578,90002021,90002,21.0,"CR 51 x CL 65  , Medellin",Reglamentaria,Destino-Origen,286,Circular 286,Circular 286,Circular,Combuses,-75.56355521,6.26280375,4716452.1085,2250720.4604
65,"(4715352.623700001, 2249990.3035000023)",52876,90002007,90002,7.0,"CR 57 54-55, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57345652,6.256154,4715352.6237,2249990.3035
66,"(4715376.733400001, 2248795.579400001)",52907,90002011,90002,11.0,"CL 44 52-165, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57318588,6.24535396,4715376.7334,2248795.5794
67,"(4715240.005500001, 2251322.6975999996)",52815,90002005,90002,5.0,"CR 64C x CL 67, Medellin",Reglamentaria,Origen-Destino,286,Circular 286,Circular 286,Circular,Combuses,-75.57453303,6.26819474,4715240.0055,2251322.6976
