id_parada,latitud,longitud
90212009,6.29549821,-75.55481991
90212028,6.24666568,-75.56892577
90212037,6.26913458,-75.5586803
90212041,6.27942746,-75.55685864
90212018,6.26743916,-75.56221341
90212023,6.2534848,-75.56840096
90212024,6.25294974,-75.57052215
90212005,6.29920789,-75.5495261
90212045,6.29551996,-75.55469412
90212050,6.30316703,-75.54842403
90212012,6.28423703,-75.55676293
90212019,6.26475995,-75.56323063
90212010,6.2921661,-75.55589127
90212013,6.2794107,-75.55701039
90212022,6.25824993,-75.56576108
90212048,6.29749099,-75.55021865
90212029,6.24906903,-75.56801889
90212040,6.27739232,-75.55722746
90212017,6.26894043,-75.55885868
90212054,6.30256243,-75.54562655
90212002,6.30385577,-75.5476315
90212042,6.28259696,-75.55606838
90212025,6.25053494,-75.57165575
90212021,6.26095037,-75.56459556
90212007,6.29644392,-75.55150455
90212014,6.27766031,-75.55732732
90212038,6.27128141,-75.55832365
90212053,6.3022145,-75.54700616
90212035,6.26450066,-75.55993238
90212020,6.26310355,-75.5638095
90212046,6.29453455,-75.5534442
90212052,6.30333534,-75.54841149
90212033,6.26110853,-75.56420437
90212034,6.26324057,-75.56338077
90212044,6.29139218,-75.55602226
90212049,6.29914917,-75.5494348
90214005,6.29920789,-75.5495261
90214020,6.26310355,-75.5638095
90214023,6.2534848,-75.56840096
90214032,6.27128141,-75.55832365
90214045,6.30451226,-75.54778568
90214037,6.28583641,-75.55566442
90214046,6.30333534,-75.54841149
90214021,6.26095037,-75.56459556
90214033,6.27548462,-75.55757389
90214017,6.26894043,-75.55885868
90214047,6.3022145,-75.54700616
90214041,6.29627768,-75.5514782
90214048,6.30256243,-75.54562655
90214043,6.29914917,-75.5494348
90214030,6.26687213,-75.55908583
90214003,6.30451226,-75.54778568
90214012,6.28423703,-75.55676293
90214019,6.26475995,-75.56323063
90214029,6.26450066,-75.55993238
90214038,6.29139218,-75.55602226
90214006,6.29817873,-75.55009651
90214039,6.29551996,-75.55469412
90214028,6.26324057,-75.56338077
90214042,6.29749099,-75.55021865
90214018,6.26743916,-75.56221341
90214025,6.25672487,-75.57234095
90214044,6.30316703,-75.54842403
90214008,6.29457796,-75.55354365
90214001,6.30264343,-75.54555443
90214040,6.29453455,-75.5534442
90214009,6.29549821,-75.55481991
90214015,6.27550649,-75.55771688
90214002,6.30385577,-75.5476315
90214026,6.25761783,-75.565657
90214013,6.2794107,-75.55701039
90214014,6.27766031,-75.55732732
90214022,6.25824993,-75.56576108
90214027,6.26110853,-75.56420437
90214035,6.27942746,-75.55685864
90214024,6.25177705,-75.57228503
90214007,6.29644392,-75.55150455
90214036,6.28259696,-75.55606838
90214031,6.26913458,-75.5586803
90214004,6.30333534,-75.54841149
90214016,6.27122493,-75.55847865
90214011,6.28777866,-75.55598096
90214010,6.2921661,-75.55589127
90214034,6.27739232,-75.55722746
90215020,6.26310355,-75.5638095
90215058,6.30256243,-75.54562655
90215004,6.30333534,-75.54841149
90215007,6.29644392,-75.55150455
90215015,6.27550649,-75.55771688
90215047,6.28583641,-75.55566442
90215021,6.26095037,-75.56459556
90215054,6.30316703,-75.54842403
90215043,6.27548462,-75.55757389
90215049,6.29551996,-75.55469412
90215012,6.28423703,-75.55676293
90215016,6.27122493,-75.55847865
90215011,6.28777866,-75.55598096
90215019,6.26475995,-75.56323063
90215014,6.27766031,-75.55732732
90215032,6.24666568,-75.56892577
90215013,6.2794107,-75.55701039
90215010,6.2921661,-75.55589127
90215029,6.23871808,-75.57324598
90215042,6.27128141,-75.55832365
90215056,6.30333534,-75.54841149
90215023,6.2534848,-75.56840096
90215055,6.30451226,-75.54778568
90215006,6.29817873,-75.55009651
90215017,6.26894043,-75.55885868
90215033,6.24906903,-75.56801889
90215051,6.29627768,-75.5514782
90215002,6.30385577,-75.5476315
90215037,6.26110853,-75.56420437
90215035,6.25570861,-75.56645924
90215009,6.29549821,-75.55481991
90215025,6.25053494,-75.57165575
90215001,6.30264343,-75.54555443
90215024,6.25294974,-75.57052215
90215022,6.25824993,-75.56576108
90215030,6.23688517,-75.57291562
90215046,6.28259696,-75.55606838
90215050,6.29453455,-75.5534442
90215045,6.27942746,-75.55685864
90215053,6.29914917,-75.5494348
